QE.File.Name,Station,Water.depth..m.,Day, Depth_Nut, Cast_Nut, RosPos_Nut, PO4, NO3+NO2, SiO4, LLN, LLP, Heterotrophic_Bacteria, Prochlorococcus, Synechococcus, Eukaryotes,Time, Latitude, Longitude, Depth, Cast, RosPos, CTD_Temperature, CTD_Salinity, CTD_Oxygen, CTD_Chloropigment, Potential_Temperature, Potential_Density, Bottle_Oxygen, DIC, Alkalinity, pH, PC, PN, PP, PSi, Chlorophyll, Pheopigment,Mixed_Layer_depth,Is_DMC,In_Mixed_Layer
QE005270,5,100,29-Jun,99.9,2,16,0.09,0,,0,0.08,4.074,1.771,0.01,0.013,2017-06-29T22:46:35,27.18,-157.607,99.9,1,14,22.242,35.232,215.7,0.3258,22.222,24.3332,,,,,,,,,,,32,FALSE,FALSE
QE005280,5,122,29-Jun,115,2,15,0.07,0,,0.01,0.08,4.062,1.377,0.002,0.025,2017-06-29T22:43:33,27.18,-157.607,121.4,1,12,20.964,35.115,203.7,0.723,20.941,24.599,,2042.6,2312,7.989,1.45,0.25,,,0.25,0.52,32,TRUE,FALSE
QE005275,5,125,29-Jun,124.2,2,12,0.17,0.9,,,0.17,3.302,0.729,0,0.027,2017-06-29T22:39:42,27.18,-157.607,124.6,1,7,20.912,35.121,205.2,0.6805,20.888,24.6178,,,,,,,,,,,32,FALSE,FALSE
QE005265,5,15,29-Jun,15.3,2,23,0.06,0,,0,0.04,5.184,1.222,0.013,0.008,2017-06-29T22:57:18,27.18,-157.607,15.4,1,22,25.954,35.208,208.3,0.0586,25.951,23.2076,,2007.2,2318,8.067,1.96,0.29,,,0.06,0.03,32,FALSE,TRUE
QE005276,5,175,29-Jun,174.1,2,8,0.22,1.8,,,0.21,2.244,0.096,0,0.004,2017-06-29T22:32:49,27.18,-157.607,175.4,1,4,19.068,35.006,206.1,0.2193,19.036,25.0176,,2050.2,2301,7.962,0.86,0.13,,,0.06,0.17,32,FALSE,FALSE
QE005267,5,75,29-Jun,73.8,2,17,0.06,0,,0,0.05,5.122,2.251,0.015,0.014,2017-06-29T22:49:45,27.18,-157.607,75.5,1,16,23.251,35.18,218.1,0.2122,23.235,24.0036,,2013.7,2313,8.052,2.09,0.32,,,0.12,0.08,32,FALSE,FALSE
QE005292,6,100,29-Jun,99.1,1,11,0.07,0,,0,0.07,5.274,2.353,0.014,0.01,2017-06-30T09:59:29,26.37,-158.011,98.9,3,14,22.663,35.189,210.2,0.2788,22.643,24.181,,,,,,,,,,,35,FALSE,FALSE
QE005301,6,119,29-Jun,124.8,1,10,0.09,0,,0,0.08,4.331,1.271,0.001,0.017,2017-06-30T09:57:26,26.37,-158.011,118,3,12,21.932,35.22,210.2,0.6577,21.909,24.4121,,2027.4,2318,8.031,1.64,0.28,,,0.19,0.52,35,TRUE,FALSE
QE005294,6,125,29-Jun,124.2,1,8,0.08,0,,0,0.09,4.297,1.312,0.001,0.013,2017-06-30T09:55:27,26.37,-158.011,123.8,3,7,21.602,35.239,214.4,0.6019,21.578,24.5186,,,,,,,,,,,35,FALSE,FALSE
QE005287,6,15,29-Jun,15.7,1,23,0.04,0,,0.01,0.04,4.912,1.239,0.011,0.006,2017-06-30T10:06:55,26.37,-158.011,14.2,3,22,25.784,35.204,208.5,0.0855,25.781,23.2574,,2001.8,2332,8.067,1.86,0.26,,,0.04,0.03,35,FALSE,TRUE
QE005298,6,175,29-Jun,174.7,1,5,0.09,0,,0.29,0.09,2.252,0.02,0,0.001,2017-06-30T09:50:59,26.37,-158.011,174.5,3,4,20.405,35.234,211.7,0.104,20.372,24.8428,,2040,2320,8.02,0.71,0.13,,,0.02,0.06,35,FALSE,FALSE
